x,y
-709843.648192249238491,-1094131.395526874810457
-709504.892876606434584,-1094645.229416865855455
-709196.056240506470203,-1094896.394018866121769
-708908.920177124440670,-1095149.136514142155647
-708141.993323534727097,-1095459.078862968832254
-707658.729107566177845,-1096055.114601343870163
-718805.328491795808077,-1087929.968146502971649
-717743.562780421227217,-1088181.004924483597279
-716259.116725422441959,-1088605.218807145953178
-715717.665861427783966,-1088618.498710379004478
-715352.009875252842903,-1088820.635989051312208
-715121.086870949715376,-1089088.346817184239626
-715069.262436680495739,-1089109.590750802308321
-714874.307401295751333,-1089156.557173680514097
-720203.665334545075893,-1085016.624829750508070
-719403.734562546014786,-1085800.296979673206806
-719056.107700876891613,-1086265.160822674632072
-718922.034968506544828,-1086736.500559002161026
-718931.736672196537256,-1086977.820441089570522
-718944.492531858384609,-1087086.736113414168358
-718998.170763712376356,-1087727.992394089698792
-713249.870117165148258,-1091723.830043412744999
-713052.052487220615149,-1091790.836898311972618
-712284.152285121381283,-1091982.064780749380589
-711670.106630772352219,-1092364.329158831387758
-711266.319970034062862,-1093065.673906441777945
-711186.910168524831533,-1093199.247217077761889
-710693.996461141854525,-1093649.651578597724438
-710072.218151859939098,-1094013.409762192517519
-709926.892190597951412,-1094089.434846423566341
-714326.109279863536358,-1089320.044099796563387
-714271.646641567349434,-1089896.773171927779913
-714154.138296119868755,-1090562.525913901627064
-713983.067319232970476,-1090931.702299408614635
-713514.839189842343330,-1091558.555676445364952
-714471.234250068664551,-1089205.096949640661478
-714167.201841477304697,-1090013.757648427039385
-722456.592562310397625,-1083680.501441020518541
-722090.273881915956736,-1083749.828860741108656
-706642.728587571531534,-1097853.020435921847820
-706427.044756371527910,-1098317.610993955284357
-705706.477161545306444,-1099281.718452848494053
-705029.079685952514410,-1099853.803950618952513
-725890.577795289456844,-1080505.060901168733835
-723825.994376774877310,-1082310.879776217043400
-723508.609945658594370,-1082684.155610874295235
-722869.614508748054504,-1083426.043973427265882
-718939.902392126619816,-1088156.320219606161118
-718882.629371542483568,-1088044.300274513661861
-719620.657867681235075,-1090217.789411842823029
-719640.739685349166393,-1089709.846253562718630
-719651.084350861608982,-1089622.727021973580122
-719698.248621579259634,-1089460.396623875945807
-719781.502224195748568,-1088933.061059467494488
-719711.538303699344397,-1088441.066916711628437
-719290.284280598163605,-1088158.113597642630339
-713188.407541975378990,-1091892.371082521975040
-713085.563336148858070,-1092031.027318947017193
-712923.882011678069830,-1092474.659451942890882
-712605.966726694256067,-1093027.438981957733631
-712592.837697718292475,-1093747.800347037613392
-712630.296248421072960,-1094689.698381841182709
-712562.430597689002752,-1094803.890986088663340
-711443.243086952716112,-1094848.273338068276644
-710824.663870718330145,-1095069.847027864307165
-710606.051612090319395,-1095051.654107004404068
-706915.506450802087784,-1095756.113080892711878
-706551.857406571507454,-1095397.015584718436003
-706384.875052209943533,-1095299.728580698370934
-706134.167263932526112,-1095190.214126165956259
-704930.138303793966770,-1095036.656786732375622
-704426.288482856005430,-1095127.007591243833303
-704020.426078721880913,-1095089.122261971235275
-703803.113364335149527,-1094953.323556039482355
-703661.266416762024164,-1094550.436029043048620
-703441.661775723099709,-1094235.581361081451178
-702534.380826443433762,-1094366.491845849901438
-699310.168960560113192,-1095102.941750220954418
-698776.624152120202780,-1095034.850661221891642
-698291.388966545462608,-1094988.382786955684423
-697736.600224487483501,-1095157.252990391105413
-697287.962872929871082,-1095210.366142272949219
-701985.459765858948231,-1094596.194410126656294
-701153.308958023786545,-1094616.232048179954290
-700852.496422614902258,-1094748.186254516243935
-700780.200062938034534,-1094876.453995060175657
-699859.104689475148916,-1095090.697186656296253
-712112.644052285701036,-1098255.969255585223436
-711734.533780343830585,-1098332.327171221375465
-711617.008147221058607,-1098350.620151050388813
-711506.394091762602329,-1098367.837627928704023
-710882.354764096438885,-1098653.177170060575008
-710733.908639378845692,-1098808.837668698281050
-710662.120607204735279,-1098926.059981700032949
-710315.156439755111933,-1099138.955607734620571
-709541.378428045660257,-1099326.827411059290171
-709135.584301497787237,-1099566.462006740272045
-708631.047513745725155,-1099174.860188510268927
-708223.801920961588621,-1099276.874585926532745
-707796.103436674922705,-1099095.759469680488110
-707511.371931768953800,-1099178.220982443541288
-707455.523310858756304,-1099337.341460864990950
-707266.790616229176521,-1099194.789036445319653
-707114.444461803883314,-1099133.405914712697268
-706956.981504734605551,-1099298.999841738492250
-706560.880874596536160,-1099423.397762354463339
-705340.017909653484821,-1100075.759890124201775
-704093.976755287498236,-1103225.740224432200193
-725123.137550130486488,-1089410.718655318021774
-724455.060052383691072,-1088836.357645455747843
-724324.819421377032995,-1087880.706304512917995
-724000.736103389412165,-1087394.399632316082716
-723921.740507591515779,-1087336.314614862203598
-723725.973126091063023,-1087239.745136681944132
-723108.307711925357580,-1087075.371475059539080
-723022.688142515718937,-1086935.559234488755465
-723070.296654105186462,-1086752.493055652827024
-723065.165532372891903,-1086643.465973865240812
-723011.799701035022736,-1086404.038655664771795
-722770.422891851514578,-1086083.991398680955172
-722254.825135111808777,-1085223.659759230911732
-721955.652309514582157,-1084632.303392928093672
-699777.115881126374006,-1103220.659568741917610
-699700.172803871333599,-1102909.553532358258963
-699411.639756627380848,-1102507.149187155067921
-699045.134055018424988,-1102671.189318876713514
-698729.104872874915600,-1102533.720344115048647
-698469.433337636291981,-1102287.980230458080769
-697845.709553699940443,-1101913.007933519780636
-697661.096389856189489,-1101660.363576360046864
-697557.661958348006010,-1101001.414495050907135
-697528.338917799293995,-1100902.987726822495461
-697466.457422070205212,-1100108.260719716548920
-697501.278816483914852,-1099887.200770735740662
-697406.774080455303192,-1099653.577396623790264
-697384.612677685916424,-1099296.721710301935673
-697179.271591141819954,-1098899.711992911994457
-696996.246448706835508,-1098785.824105769395828
-696905.311355695128441,-1098389.132551457732916
-696844.385047685354948,-1097772.098050128668547
