x1,y1,x2,y2,TRIDA,SHAPE_Length
-713639.117668338119984,-1081166.421525873243809,-714346.028872776776552,-1080628.042978640645742,5,888.580278354856887
-714346.028872776776552,-1080628.042978640645742,-714655.509867683053017,-1080184.820336543023586,5,540.578205883455439
-708009.146269883960485,-1083855.833393316715956,-708356.704155474901199,-1083254.848490353673697,5,694.247317190309900
-708356.704155474901199,-1083254.848490353673697,-708979.336895015090704,-1082942.140288099646568,5,696.748123861318390
-708979.336895015090704,-1082942.140288099646568,-709033.394407987594604,-1082503.640848446637392,5,441.818937218376220
-709033.394407987594604,-1082503.640848446637392,-709386.019328676164150,-1082047.768168214708567,5,576.336911252838604
-709386.019328676164150,-1082047.768168214708567,-709422.022047571837902,-1081910.473991055041552,5,141.936206972819093
-709422.022047571837902,-1081910.473991055041552,-709578.186158891767263,-1081864.196979712694883,5,162.876614168894662
-709578.186158891767263,-1081864.196979712694883,-709715.697043173015118,-1081803.898615948855877,5,150.150377849697691
-709715.697043173015118,-1081803.898615948855877,-709807.612818855792284,-1081540.485084805637598,5,278.989602330814137
-709807.612818855792284,-1081540.485084805637598,-710027.007213827222586,-1081541.929915368556976,5,219.399152414578623
-710027.007213827222586,-1081541.929915368556976,-710531.049120046198368,-1081199.339005902409554,5,609.447925973746123
-710531.049120046198368,-1081199.339005902409554,-710624.152157392352819,-1080843.052066639065742,5,368.250673662277336
-710624.152157392352819,-1080843.052066639065742,-710799.383177600800991,-1081056.232328135520220,5,275.956036960582310
-710799.383177600800991,-1081056.232328135520220,-710764.369697906076908,-1080872.993097923696041,5,186.554440442876512
-710764.369697906076908,-1080872.993097923696041,-710788.216910954564810,-1080828.417612925171852,5,50.553569933622157
-710788.216910954564810,-1080828.417612925171852,-710834.379369620233774,-1080811.437623307108879,5,49.186305385636786
-710834.379369620233774,-1080811.437623307108879,-711073.348302491009235,-1080803.271204885095358,5,239.108429937634327
-711073.348302491009235,-1080803.271204885095358,-711226.498944994062185,-1080485.162263013422489,5,353.055828726581524
-711226.498944994062185,-1080485.162263013422489,-711276.183025360107422,-1080103.992072541266680,5,384.394617478443820
-711276.183025360107422,-1080103.992072541266680,-711255.490900367498398,-1079941.447935912758112,5,163.855913500297618
-711255.490900367498398,-1079941.447935912758112,-711297.306119874119759,-1079865.844391558319330,5,86.396808397883078
-711297.306119874119759,-1079865.844391558319330,-711355.643118292093277,-1079797.005392324179411,5,90.233104789631170
-711355.643118292093277,-1079797.005392324179411,-711257.564199045300484,-1079647.692788362503052,5,178.644138169813203
-704888.164177376776934,-1100285.326154366135597,-704745.803139742463827,-1100407.374173499643803,4,187.516356648510794
-704745.803139742463827,-1100407.374173499643803,-704471.248313039541245,-1101272.926341652870178,4,908.053362231880556
-704471.248313039541245,-1101272.926341652870178,-704500.957270380109549,-1102043.943214751780033,4,771.589036177604157
